Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.899,0.848,0.938
10,70,18,74.286,0.429,0.878,0.6,0.782,0.782,0.757,0.663,0.727
10,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.958,0.938,0.993
20,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.86,0.797,0.885
20,70,27,61.429,0.3,0.85,0.6,0.618,0.618,0.648,0.558,0.726
10,70,19,72.857,0.423,0.909,0.733,0.727,0.727,0.75,0.672,0.825
10,70,12,82.857,0.56,0.978,0.933,0.8,0.8,0.841,0.79,0.933
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.953
20,70,10,85.714,0.619,0.959,0.867,0.855,0.855,0.865,0.813,0.875
15,70,12,82.857,0.579,0.922,0.733,0.855,0.855,0.835,0.767,0.799
