Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.959
10,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.99
10,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.971
15,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.945
15,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.856,0.766,0.845
5,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.933
5,70,11,84.286,0.7,0.867,0.467,0.945,0.945,0.831,0.732,0.933
10,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.836,0.73,0.926
5,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.966
20,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.907
