Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.996
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.977
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.989
5,70,12,82.857,0.714,0.841,0.333,0.964,0.964,0.803,0.676,0.928
15,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.992
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.947
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.993
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.993
15,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.958,0.938,0.989
15,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.827,0.708,0.941
