Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.888,0.818,0.933
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.989
20,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.922
20,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.892,0.83,0.956
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.907
20,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.856,0.766,0.919
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.961
10,70,15,78.571,0.5,0.794,0.067,0.982,0.982,0.715,0.498,0.745
10,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.89
15,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.916
