Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.901
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.945
10,70,9,87.143,1.0,0.859,0.4,1.0,1.0,0.849,0.748,0.913
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.893
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.966
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.937
5,70,10,85.714,0.778,0.869,0.467,0.964,0.964,0.843,0.749,0.924
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.964
10,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.861,0.781,0.915
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.97
