Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.892,0.83,0.972
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.99
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.992
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.958
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.899,0.848,0.946
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.973
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.994
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.993
15,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.907
10,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.984
