Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.812
5,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.91
15,70,13,81.429,0.6,0.85,0.4,0.927,0.927,0.8,0.683,0.692
15,70,12,82.857,0.667,0.852,0.4,0.945,0.945,0.812,0.698,0.8
20,70,12,82.857,0.714,0.841,0.333,0.964,0.964,0.803,0.676,0.6
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.824
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.891
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.928
15,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.816
15,70,12,82.857,0.714,0.841,0.333,0.964,0.964,0.803,0.676,0.892
