Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.953
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.886
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.918
5,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.836,0.73,0.876
15,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.929,0.896,0.953
5,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.856,0.766,0.835
10,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.89
10,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.916
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.959
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.87
