Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,8,88.571,1.0,0.873,0.467,1.0,1.0,0.869,0.784,0.756
15,70,14,80.0,0.667,0.806,0.133,0.982,0.982,0.743,0.554,0.695
10,70,17,75.714,0.25,0.788,0.067,0.945,0.945,0.698,0.482,0.549
15,70,12,82.857,0.667,0.852,0.4,0.945,0.945,0.812,0.698,0.775
20,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.899,0.848,0.881
20,70,9,87.143,1.0,0.859,0.4,1.0,1.0,0.849,0.748,0.901
15,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.883,0.821,0.908
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.893
15,70,11,84.286,0.75,0.855,0.4,0.964,0.964,0.824,0.714,0.835
10,70,11,84.286,0.833,0.844,0.333,0.982,0.982,0.815,0.692,0.833
