Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.936
20,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.97
20,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.888,0.818,0.928
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.821
5,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.861,0.781,0.916
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.905
5,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.861,0.781,0.745
10,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.986,0.978,0.943
5,70,13,81.429,0.583,0.862,0.467,0.909,0.909,0.806,0.702,0.834
20,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.88
