Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.906,0.849,0.985
15,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.943
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.93
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.899,0.848,0.93
5,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.853,0.777,0.947
10,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.813
15,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.989
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.944
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.913
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.965
