Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,11,84.286,0.75,0.855,0.4,0.964,0.964,0.824,0.714,0.638
20,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.892,0.83,0.885
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.909
15,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.881
10,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.883,0.821,0.892
10,70,10,85.714,0.778,0.869,0.467,0.964,0.964,0.843,0.749,0.87
5,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.836,0.73,0.874
5,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.87,0.804,0.907
15,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.853,0.777,0.873
15,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.856,0.766,0.765
