model,Nb features,top feature 1,top feature 2,top feature 3,top feature 4,top feature 5,top feature 6,top feature 7,top feature 8,top feature 9,top feature 10,top feature 11,top feature 12,top feature 13,top feature 14,top feature 15,top feature 16,top feature 17,top feature 18,top feature 19,top feature 20,top feature 21,top feature 22,top feature 23,top feature 24,top feature 25,top feature 26,top feature 27,top feature 28,top feature 29,top feature 30,top feature 31,top feature 32,top feature 33,top feature 34,top feature 35,top feature 36,top feature 37,top feature 38,top feature 39,top feature 40
glmnet_glmnet,10,Sal+tIMP1SAL,Ser+bDNFSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+eNA78Seru,Sal+mMP7SAL,Sal+tGFb1SAL,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_rf,15,Sal+oPGSAL,Af+Af_energy,JS+3D_Sc_Sf_JS,C+C_TbN,Af+Af_shortRunHighGrey,Af+Af_highGreyLevelRun,Af+Af_BSBV,Af+Af_TbTh,C+C_entropy,Af+Af_longRunLowGrey,C+C_energy,Af+Af_longRunHighGrey,clinic+MouthOpen,C+C_correlation,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_xgbTree,20,C+C_highGreyLevelRun,C+C_lowGreyLevelRun,C+C_shortRunHighGrey,C+C_TbTh,clinic+Headache,C+C_longRunLowGreys,Af+Af_entropy,Af+Af_longRunHighGrey,Af+Af_TbTh,Af+Af_invDiffMoment,Af+Af_lowGreyLevelRun,Af+Af_correlation,Af+Af_shortRunHighGrey,Ser+eNA78Seru,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_shortRunEmph,C+C_shortRunLowGrey,JS+3D_Sc_Sf_JS,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,
glmnet_lda2,15,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_nnet,20,Ser+eNA78Seru,C+C_longRunHighGrey,Sal+tGFb1SAL,Af+Af_longRunHighGrey,Ser+pAI1Seru,Sal+vEGFSAL,Af+Af_greyLevelNonunif,Sal+oPGSAL,Af+Af_longRunEmph,Sal+vECadherinSAL,Af+Af_BSBV,Af+Af_BVTV,Ser+angiogeninSeru,Af+Af_correlation,Sal+eNA78SAL,clinic+LowerBackPain,clinic+RestlessSleep,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,clinic+Headache,,,,,,,,,,,,,,,,,,,,
glmnet_glmboost,5,C+C_longRunLowGreys,Af+Af_TbN,C+C_TbTh,JS+3D_Sc_Sf_JS,clinic+MouthOpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_glmnet,15,Sal+mMP7SAL,C+C_TbN,clinic+LowerBackPain,Af+Af_BVTV,Af+Af_correlation,Af+Af_shortRunEmph,clinic+Headache,JS+3D_Sc_Sf_JS,Ser+eNA78Seru,Af+Af_longRunHighGrey,Ser+bDNFSeru,Sal+angiogeninSAL,clinic+RestlessSleep,Af+Af_BSBV,Sal+vEGFSAL,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_rf,20,Sal+oPGSAL,Af+Af_energy,Af+Af_shortRunHighGrey,Ser+vECadherinSeru,Af+Af_TbSp,C+C_lowGreyLevelRun,C+C_longRunHighGrey,Af+Af_longRunLowGrey,C+C_highGreyLevelRun,C+C_shortRunHighGrey,C+C_shortRunLowGrey,clinic+MouthOpen,C+C_energy,Af+Af_TbTh,Af+Af_BSBV,C+C_correlation,C+C_entropy,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,
svmLinear_xgbTree,20,Ser+eNA78Seru,Ser+tGFb1Seru,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,clinic+Headache,Af+Af_TbTh,Sal+tGFb1SAL,Sal+angiogeninSAL,Sal+eNA78SAL,Af+Af_entropy,Af+Af_shortRunEmph,Af+Af_longRunHighGrey,Af+Af_invDiffMoment,Af+Af_shortRunLowGrey,Af+Af_lowGreyLevelRun,C+C_longRunEmph,JS+3D_Sc_Sf_JS,clinic+LowerBackPain,clinic+RestlessSleep,Af+Af_BVTV,,,,,,,,,,,,,,,,,,,,
svmLinear_lda2,5,C+C_runLengthNonunif,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_longRunLowGrey,C+C_shortRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_nnet,5,Af+Af_BSBV,C+C_highGreyLevelRun,C+C_shortRunHighGrey,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_glmboost,20,C+C_longRunEmph,clinic+Headache,Af+Af_longRunHighGrey,Af+Af_longRunLowGrey,Af+Af_greyLevelNonunif,Af+Af_lowGreyLevelRun,C+C_highGreyLevelRun,JS+3D_Sc_Sf_JS,C+C_longRunLowGreys,C+C_energy,Sal+tIMP1SAL,C+C_invDiffMoment,C+C_correlation,Sal+oPGSAL,C+C_TbN,C+C_shortRunEmph,Ser+tRANCESeru,Sal+mMP7SAL,Sal+tRANCESAL,clinic+MouthOpen,,,,,,,,,,,,,,,,,,,,
rf_glmnet,10,Ser+eNA78Seru,Af+Af_BSBV,Ser+angiogeninSeru,clinic+MouthOpen,clinic+LowerBackPain,Sal+angiogeninSAL,Sal+oPGSAL,C+C_shortRunHighGrey,Sal+mMP7SAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_rf,5,Af+Af_BSBV,clinic+RestlessSleep,clinic+MouthOpen,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_xgbTree,10,Ser+angiogeninSeru,Ser+eNA78Seru,Sal+oPGSAL,Af+Af_runLengthNonunif,Af+Af_longRunEmph,clinic+MouthOpen,clinic+Headache,Af+Af_invDiffMoment,C+C_TbTh,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_lda2,10,Af+Af_invDiffMoment,C+C_shortRunHighGrey,Af+Af_inertia,Af+Af_correlation,clinic+Headache,Sal+vECadherinSAL,C+C_BVTV,Af+Af_shortRunEmph,Af+Af_energy,Af+Af_TbSp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_nnet,5,Ser+eNA78Seru,JS+3D_Sc_Sf_JS,clinic+LowerBackPain,clinic+RestlessSleep,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_glmboost,10,C+C_BSBV,Sal+angiogeninSAL,C+C_TbTh,Af+Af_shortRunHighGrey,clinic+RestlessSleep,C+C_longRunHighGrey,Af+Af_BVTV,Ser+angiogeninSeru,Ser+vECadherinSeru,Sal+eNA78SAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_glmnet,15,C+C_shortRunHighGrey,Sal+cXCL16SAL,Sal+eNA78SAL,Sal+tGFb1SAL,C+C_highGreyLevelRun,Ser+cXCL16Seru,Af+Af_shortRunEmph,clinic+MouthOpen,clinic+RestlessSleep,Af+Af_BSBV,clinic+MuscleSore,Ser+eNA78Seru,Sal+tIMP1SAL,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_rf,20,Af+Af_BSBV,Ser+pAI1Seru,Af+Af_highGreyLevelRun,Ser+tRANCESeru,JS+3D_Sc_Sf_JS,Sal+tIMP1SAL,clinic+RestlessSleep,Af+Af_TbTh,clinic+MuscleSore,C+C_energy,C+C_entropy,Sal+oPGSAL,C+C_lowGreyLevelRun,Sal+tRANCESAL,Sal+eNA78SAL,C+C_shortRunHighGrey,Af+Af_shortRunHighGrey,clinic+LowerBackPain,C+C_highGreyLevelRun,clinic+Headache,,,,,,,,,,,,,,,,,,,,
xgbTree_xgbTree,5,clinic+Headache,clinic+RestlessSleep,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
