Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.953
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.942
5,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.861,0.781,0.833
5,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.916,0.878,0.933
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.887
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.968
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.962
5,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.879,0.811,0.926
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.869
5,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.883,0.821,0.937
