Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.887
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.944,0.919,0.949
10,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.993
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.956
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.944,0.919,0.913
15,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.873,0.814,0.857
10,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.892,0.83,0.977
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.933
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.819
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.909
