Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.915
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.957,0.935,0.985
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.92
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.848
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.897
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.896,0.839,0.962
20,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.888,0.818,0.943
20,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.836,0.748,0.836
15,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.929,0.896,0.903
15,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.899,0.848,0.908
