Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.93
10,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.886,0.83,0.895
10,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.943,0.915,0.955
5,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.958,0.938,0.944
20,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.888,0.838,0.868
10,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.874,0.799,0.935
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.958
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.832
10,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.914,0.873,0.937
15,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.982
