Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.968
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.928
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.941,0.911,0.978
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.941
5,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.929,0.896,0.964
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.927
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.971
15,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.929,0.896,0.922
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.966
10,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.857,0.788,0.855
