Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.813
10,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.918,0.883,0.922
20,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.971,0.955,0.936
10,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.929,0.896,0.948
10,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.962
10,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.861,0.781,0.881
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.947
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.926,0.885,0.944
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.912,0.866,0.921
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.955
