Model FS_PM,AUC train (O),AUC test (O),AUC validation,F1 train (O),F1 test (O),F1 validation
glmnet_glmnet,1.0,0.682,0.947,0.985,0.609,0.881
rf_glmnet,1.0,0.675,0.787,0.989,0.662,0.81
xgbTree_glmnet,0.999,0.626,0.96,0.979,0.575,0.81
lda2_glmnet,1.0,0.623,0.937,0.996,0.575,0.735
nnet_glmnet,1.0,0.654,0.747,0.983,0.636,0.603
glmboost_glmnet,1.0,0.644,0.897,0.981,0.575,0.849
AUC_glmnet,1.0,0.682,0.947,0.985,0.609,0.881
glmnet_svmLinear,1.0,0.509,0.837,1.0,0.404,0.789
rf_svmLinear,1.0,0.505,0.8,0.994,0.393,0.694
xgbTree_svmLinear,1.0,0.498,0.89,0.989,0.404,0.735
lda2_svmLinear,0.999,0.516,0.787,0.974,0.393,0.603
nnet_svmLinear,1.0,0.498,0.827,1.0,0.404,0.821
glmboost_svmLinear,1.0,0.516,0.85,0.989,0.429,0.709
AUC_svmLinear,1.0,0.509,0.837,1.0,0.404,0.789
glmnet_rf,1.0,0.616,0.992,0.961,0.452,0.878
rf_rf,1.0,0.595,0.927,0.947,0.396,0.94
xgbTree_rf,1.0,0.543,0.963,0.93,0.452,0.883
lda2_rf,1.0,0.571,0.813,0.947,0.396,0.558
nnet_rf,1.0,0.578,0.923,0.935,0.552,0.849
glmboost_rf,1.0,0.581,0.977,0.94,0.396,0.844
AUC_rf,1.0,0.644,0.94,0.981,0.504,0.91
glmnet_xgbTree,1.0,0.522,0.89,1.0,0.485,0.821
rf_xgbTree,1.0,0.502,0.943,1.0,0.483,0.773
xgbTree_xgbTree,1.0,0.533,0.957,0.996,0.462,0.94
lda2_xgbTree,1.0,0.502,0.883,0.998,0.485,0.816
nnet_xgbTree,1.0,0.595,0.95,0.985,0.53,0.881
glmboost_xgbTree,1.0,0.585,0.903,0.996,0.483,0.844
AUC_xgbTree,1.0,0.522,0.89,1.0,0.485,0.821
glmnet_lda2,1.0,0.535,0.787,1.0,0.549,0.669
rf_lda2,1.0,0.552,0.672,1.0,0.575,0.72
xgbTree_lda2,0.872,0.587,0.97,0.866,0.582,0.912
lda2_lda2,0.95,0.588,0.813,0.898,0.609,0.626
nnet_lda2,0.856,0.535,0.873,0.864,0.549,0.878
glmboost_lda2,1.0,0.535,0.917,1.0,0.549,0.816
AUC_lda2,1.0,0.535,0.787,1.0,0.549,0.669
glmnet_nnet,1.0,0.574,0.827,1.0,0.564,0.773
rf_nnet,1.0,0.581,0.67,1.0,0.489,0.624
xgbTree_nnet,0.993,0.651,0.72,0.948,0.582,0.633
lda2_nnet,1.0,0.498,0.783,1.0,0.469,0.669
nnet_nnet,1.0,0.547,0.84,1.0,0.514,0.773
glmboost_nnet,0.997,0.519,0.853,0.947,0.489,0.816
AUC_nnet,1.0,0.554,0.987,1.0,0.489,0.913
glmnet_glmboost,0.927,0.567,0.747,0.88,0.433,0.816
rf_glmboost,0.946,0.751,0.927,0.923,0.53,0.878
xgbTree_glmboost,0.963,0.559,0.913,0.936,0.483,0.849
lda2_glmboost,0.962,0.661,0.89,0.936,0.53,0.849
nnet_glmboost,0.96,0.685,0.857,0.939,0.549,0.709
glmboost_glmboost,0.96,0.657,0.943,0.913,0.601,0.883
AUC_glmboost,0.952,0.564,0.98,0.925,0.601,0.912
glmnet_hdda,0.498,0.514,0.623,0.476,0.471,0.694
rf_hdda,0.462,0.503,0.293,0.414,0.496,0.398
xgbTree_hdda,0.436,0.612,0.493,0.371,0.615,0.464
lda2_hdda,0.468,0.574,0.408,0.394,0.5,0.358
nnet_hdda,0.49,0.476,0.71,0.454,0.469,0.682
glmboost_hdda,0.545,0.509,0.44,0.51,0.528,0.45
AUC_hdda,0.506,0.436,0.545,0.446,0.441,0.566
