Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.892
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.866,0.901
20,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.772,0.772,0.779
5,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.938,0.938,0.959
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.932
20,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.901,0.901,0.916
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.908
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.958
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.954
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.885
