Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.937
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.885
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.908
10,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.878,0.958
15,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.964
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.91
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.958
15,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.958,0.937
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.884
10,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.935
