Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,38,45.714,0.152,0.73,0.333,0.491,0.491,0.398,0.398,0.39
10,70,36,48.571,0.161,0.744,0.333,0.527,0.527,0.417,0.417,0.408
20,70,29,58.571,0.208,0.783,0.333,0.655,0.655,0.485,0.485,0.558
5,70,39,44.286,0.125,0.711,0.267,0.491,0.491,0.375,0.375,0.287
5,70,35,50.0,0.237,0.812,0.6,0.473,0.473,0.469,0.469,0.648
15,70,34,51.429,0.212,0.784,0.467,0.527,0.527,0.461,0.461,0.504
5,70,33,52.857,0.179,0.762,0.333,0.582,0.582,0.446,0.446,0.441
5,70,39,44.286,0.167,0.735,0.4,0.455,0.455,0.399,0.399,0.375
5,70,37,47.143,0.271,0.909,0.867,0.364,0.364,0.466,0.466,0.669
20,70,41,41.429,0.205,0.769,0.6,0.364,0.364,0.399,0.399,0.53
