Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.901,0.901,0.942
15,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.992
10,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.901,0.901,0.93
5,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.855,0.836
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.927
5,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.878,0.976
10,70,7,90.0,0.7,0.98,0.933,0.891,0.891,0.867,0.867,0.92
15,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.873,0.966
5,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.855
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.971
