Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.965
20,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.942
15,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.794,0.794,0.908
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.995
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.976
20,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.99
5,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.797,0.797,0.922
10,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.781,0.897
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.983
5,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.97
