Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.962
10,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.873,0.952
20,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.958,0.994
15,70,1,98.571,0.938,1.0,1.0,0.982,0.982,0.979,0.979,1.0
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.955
15,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.964
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.978
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.984
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.966
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.985
