Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.899
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.978
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.927
20,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.878,0.902
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.913
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.937
15,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.984
15,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.887
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.979
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.968
