Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.838,0.838,0.925
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.892
5,70,10,85.714,0.727,0.881,0.533,0.945,0.945,0.764,0.764,0.933
20,70,12,82.857,0.6,0.891,0.6,0.891,0.891,0.745,0.745,0.858
20,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.902
10,70,12,82.857,0.588,0.906,0.667,0.873,0.873,0.757,0.757,0.895
15,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.918
20,70,8,88.571,1.0,0.873,0.467,1.0,1.0,0.784,0.784,0.85
20,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.928
20,70,17,75.714,0.429,0.839,0.4,0.855,0.855,0.63,0.63,0.74
