Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,40,42.857,0.143,0.714,0.333,0.455,0.455,0.378,0.378,0.303
15,70,31,55.714,0.3,0.9,0.8,0.491,0.491,0.536,0.536,0.65
5,70,34,51.429,0.194,0.769,0.4,0.545,0.545,0.45,0.45,0.433
15,70,37,47.143,0.194,0.765,0.467,0.473,0.473,0.429,0.429,0.542
15,70,40,42.857,0.179,0.742,0.467,0.418,0.418,0.397,0.397,0.359
5,70,37,47.143,0.194,0.765,0.467,0.473,0.473,0.429,0.429,0.521
5,70,34,51.429,0.229,0.8,0.533,0.509,0.509,0.471,0.471,0.544
15,70,35,50.0,0.237,0.812,0.6,0.473,0.473,0.469,0.469,0.635
5,70,33,52.857,0.25,0.824,0.6,0.509,0.509,0.491,0.491,0.624
5,70,23,67.143,0.25,0.796,0.267,0.782,0.782,0.524,0.524,0.553
