Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.772,0.772,0.925
10,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.788,0.918
10,70,12,82.857,0.667,0.852,0.4,0.945,0.945,0.698,0.698,0.844
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.994
5,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.799,0.853
20,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.878,0.896
10,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.855,0.964
15,70,14,80.0,0.538,0.86,0.467,0.891,0.891,0.688,0.688,0.721
15,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.799,0.939
20,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.766,0.766,0.818
