Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,19,72.857,0.389,0.846,0.467,0.8,0.8,0.623,0.623,0.663
5,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.777,0.777,0.83
5,70,20,71.429,0.4,0.889,0.667,0.727,0.727,0.65,0.65,0.728
15,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.958,0.996
10,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.821,0.861
15,70,17,75.714,0.45,0.88,0.6,0.8,0.8,0.676,0.676,0.881
15,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.855,0.949
5,70,10,85.714,0.778,0.869,0.467,0.964,0.964,0.749,0.749,0.824
20,70,9,87.143,0.667,0.942,0.8,0.891,0.891,0.822,0.822,0.918
20,70,10,85.714,0.632,0.941,0.8,0.873,0.873,0.806,0.806,0.898
