Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.896
10,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.931
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.952
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.953
15,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.901,0.901,0.982
15,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.799,0.952
20,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.921
5,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.976
20,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.977
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.958
