Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.866,0.852
5,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.799,0.855
20,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.811,0.857
20,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.73,0.73,0.681
15,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.799,0.847
15,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.941
10,70,13,81.429,0.625,0.839,0.333,0.945,0.945,0.662,0.662,0.824
15,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.781,0.921
15,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.938,0.938,0.692
15,70,12,82.857,0.6,0.891,0.6,0.891,0.891,0.745,0.745,0.776
