Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.866,0.91
20,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.886
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.965
20,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.958,0.999
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.918
10,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.966
10,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.777,0.777,0.876
15,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.948
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.948
15,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.878,0.987
