Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.788,0.821
15,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.977
10,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.878,0.885
5,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.901,0.901,0.987
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.92
15,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.811,0.892
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.963
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.876
20,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.905
10,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.954
