Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,34,51.429,0.229,0.8,0.533,0.509,0.509,0.471,0.471,0.505
10,70,45,35.714,0.143,0.679,0.4,0.345,0.345,0.334,0.334,0.301
5,70,26,62.857,0.323,0.872,0.667,0.618,0.618,0.579,0.579,0.628
15,70,34,51.429,0.229,0.8,0.533,0.509,0.509,0.471,0.471,0.452
5,70,38,45.714,0.152,0.73,0.333,0.491,0.491,0.398,0.398,0.442
15,70,32,54.286,0.226,0.795,0.467,0.564,0.564,0.482,0.482,0.553
10,70,25,64.286,0.273,0.812,0.4,0.709,0.709,0.541,0.541,0.499
5,70,27,61.429,0.25,0.804,0.4,0.673,0.673,0.52,0.52,0.535
5,70,20,71.429,0.407,0.907,0.733,0.709,0.709,0.66,0.66,0.696
5,70,35,50.0,0.188,0.763,0.4,0.527,0.527,0.439,0.439,0.492
