Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.978
15,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.973
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.958
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.962
15,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.958,0.992
15,70,6,91.429,0.714,1.0,1.0,0.891,0.891,0.888,0.888,0.995
5,70,3,95.714,0.833,1.0,1.0,0.945,0.945,0.941,0.941,0.994
5,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.878,0.886
5,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.852
5,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.878,0.952
