Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.941
10,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.953
15,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.99
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,1.0
10,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.907
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.971
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.938
10,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.799,0.948
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.947
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.96
