Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.925
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.944
5,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.958,0.985
10,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.932
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.919
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.928
5,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.781,0.925
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.979
5,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.936
15,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.995
