Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.804,0.804,0.864
15,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.733
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.99
5,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.97
5,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.811,0.843
20,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.873,0.915
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.95
15,70,12,82.857,0.588,0.906,0.667,0.873,0.873,0.757,0.757,0.809
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.942
20,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.853
