Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,11,84.286,0.643,0.893,0.6,0.909,0.909,0.761,0.761,0.839
20,70,13,81.429,1.0,0.809,0.133,1.0,1.0,0.565,0.565,0.539
10,70,12,82.857,0.8,0.831,0.267,0.982,0.982,0.65,0.65,0.732
20,70,13,81.429,0.6,0.85,0.4,0.927,0.927,0.683,0.683,0.704
20,70,10,85.714,0.727,0.881,0.533,0.945,0.945,0.764,0.764,0.851
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.907
10,70,17,75.714,0.4,0.817,0.267,0.891,0.891,0.586,0.586,0.713
15,70,13,81.429,0.75,0.818,0.2,0.982,0.982,0.604,0.604,0.701
20,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.708,0.708,0.764
20,70,12,82.857,0.636,0.864,0.467,0.927,0.927,0.717,0.717,0.855
