Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,30,57.143,0.273,0.838,0.6,0.564,0.564,0.524,0.524,0.532
20,70,47,32.857,0.079,0.625,0.2,0.364,0.364,0.286,0.286,0.261
15,70,34,51.429,0.172,0.756,0.333,0.564,0.564,0.437,0.437,0.429
10,70,45,35.714,0.2,0.75,0.667,0.273,0.273,0.354,0.354,0.475
20,70,38,45.714,0.189,0.758,0.467,0.455,0.455,0.419,0.419,0.482
10,70,26,62.857,0.238,0.796,0.333,0.709,0.709,0.514,0.514,0.547
10,70,37,47.143,0.133,0.725,0.267,0.527,0.527,0.394,0.394,0.382
15,70,22,68.571,0.379,0.902,0.733,0.673,0.673,0.635,0.635,0.721
5,70,36,48.571,0.231,0.806,0.6,0.455,0.455,0.457,0.457,0.544
10,70,35,50.0,0.206,0.778,0.467,0.509,0.509,0.451,0.451,0.537
