Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.804,0.804,0.857
20,70,10,85.714,0.778,0.869,0.467,0.964,0.964,0.749,0.749,0.922
20,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.855,0.933
20,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.821,0.92
20,70,11,84.286,0.6,0.94,0.8,0.855,0.855,0.79,0.79,0.902
20,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.821,0.944
20,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.855,0.931
15,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.748,0.748,0.811
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.952
15,70,15,78.571,0.5,0.803,0.133,0.964,0.964,0.543,0.543,0.625
