Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,21,70.0,0.385,0.886,0.667,0.709,0.709,0.638,0.638,0.84
5,70,13,81.429,0.556,0.904,0.667,0.855,0.855,0.742,0.742,0.859
10,70,16,77.143,0.476,0.898,0.667,0.8,0.8,0.701,0.701,0.84
15,70,27,61.429,0.286,0.833,0.533,0.636,0.636,0.547,0.547,0.69
20,70,17,75.714,0.458,0.913,0.733,0.764,0.764,0.698,0.698,0.828
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.891
20,70,13,81.429,0.55,0.92,0.733,0.836,0.836,0.752,0.752,0.885
10,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.818,0.865
15,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.766,0.766,0.825
20,70,17,75.714,0.462,0.932,0.8,0.745,0.745,0.707,0.707,0.844
