Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.914
5,70,13,81.429,0.6,0.85,0.4,0.927,0.927,0.683,0.683,0.881
10,70,13,81.429,0.625,0.839,0.333,0.945,0.945,0.662,0.662,0.905
10,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.936
20,70,9,87.143,1.0,0.859,0.4,1.0,1.0,0.748,0.748,0.896
20,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.878,0.955
20,70,8,88.571,1.0,0.873,0.467,1.0,1.0,0.784,0.784,0.903
15,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.947
10,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.924
10,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.985
