Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,7,90.0,0.75,0.944,0.8,0.927,0.927,0.855,0.855,0.841
20,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.859
20,70,9,87.143,1.0,0.859,0.4,1.0,1.0,0.748,0.748,0.823
20,70,13,81.429,0.6,0.85,0.4,0.927,0.927,0.683,0.683,0.777
20,70,11,84.286,0.7,0.867,0.467,0.945,0.945,0.732,0.732,0.824
20,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.811,0.859
15,70,9,87.143,1.0,0.859,0.4,1.0,1.0,0.748,0.748,0.48
20,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.777,0.777,0.867
15,70,10,85.714,1.0,0.846,0.333,1.0,1.0,0.708,0.708,0.744
15,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.794,0.794,0.804
