Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.878,0.939
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.949
10,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.92
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.919
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.949
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.949
20,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.928
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.856
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.982
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.992
