Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.873,0.958
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.952
15,70,8,88.571,0.818,0.898,0.6,0.964,0.964,0.811,0.811,0.899
15,70,8,88.571,0.684,0.961,0.867,0.891,0.891,0.845,0.845,0.975
15,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.938,0.938,0.956
5,70,12,82.857,0.571,0.939,0.8,0.836,0.836,0.776,0.776,0.783
10,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.899
5,70,10,85.714,0.647,0.925,0.733,0.891,0.891,0.797,0.797,0.852
15,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.878,0.947
5,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.943
