Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.838,0.838,0.891
15,70,13,81.429,0.583,0.862,0.467,0.909,0.909,0.702,0.702,0.778
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.861
10,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.954
20,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.92
15,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.96
20,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,1.0
15,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.976
5,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.981
10,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.959
