Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,42,40.0,0.186,0.741,0.533,0.364,0.364,0.382,0.382,0.462
15,70,33,52.857,0.125,0.739,0.2,0.618,0.618,0.414,0.414,0.335
15,70,42,40.0,0.2,0.76,0.6,0.345,0.345,0.387,0.387,0.558
5,70,25,64.286,0.353,0.917,0.8,0.6,0.6,0.608,0.608,0.709
5,70,34,51.429,0.194,0.769,0.4,0.545,0.545,0.45,0.45,0.459
15,70,20,71.429,0.391,0.872,0.6,0.745,0.745,0.639,0.639,0.664
10,70,39,44.286,0.184,0.75,0.467,0.436,0.436,0.408,0.408,0.469
15,70,40,42.857,0.195,0.759,0.533,0.4,0.4,0.405,0.405,0.425
5,70,27,61.429,0.324,0.889,0.733,0.582,0.582,0.576,0.576,0.695
5,70,37,47.143,0.211,0.781,0.533,0.455,0.455,0.438,0.438,0.514
