Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.975
20,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.73,0.73,0.793
20,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.977
10,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.932
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.995
20,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.959
5,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.818,0.914
20,70,13,81.429,0.556,0.904,0.667,0.855,0.855,0.742,0.742,0.879
15,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.901
10,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.799,0.91
