Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,12,82.857,0.6,0.891,0.6,0.891,0.891,0.745,0.745,0.785
15,70,17,75.714,0.458,0.913,0.733,0.764,0.764,0.698,0.698,0.805
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.829
15,70,9,87.143,0.636,0.979,0.933,0.855,0.855,0.835,0.835,0.987
15,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.902
15,70,8,88.571,0.684,0.961,0.867,0.891,0.891,0.845,0.845,0.958
20,70,14,80.0,0.526,0.902,0.667,0.836,0.836,0.728,0.728,0.922
10,70,10,85.714,0.727,0.881,0.533,0.945,0.945,0.764,0.764,0.767
20,70,11,84.286,0.625,0.907,0.667,0.891,0.891,0.772,0.772,0.927
20,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.988
