Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.944
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.99
5,70,10,85.714,0.778,0.869,0.467,0.964,0.964,0.749,0.749,0.954
20,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.818,0.985
10,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.942
10,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.984
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.993
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.983
5,70,12,82.857,0.714,0.841,0.333,0.964,0.964,0.676,0.676,0.936
20,70,12,82.857,0.8,0.831,0.267,0.982,0.982,0.65,0.65,0.942
