Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.814,0.814,0.808
20,70,9,87.143,0.75,0.897,0.6,0.945,0.945,0.794,0.794,0.79
15,70,8,88.571,1.0,0.873,0.467,1.0,1.0,0.784,0.784,0.952
20,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.994
15,70,9,87.143,0.688,0.926,0.733,0.909,0.909,0.814,0.814,0.822
10,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.878,0.878,0.931
10,70,11,84.286,0.667,0.879,0.533,0.927,0.927,0.748,0.748,0.869
20,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.926
20,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.788,0.95
20,70,12,82.857,0.8,0.831,0.267,0.982,0.982,0.65,0.65,0.77
