Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.973
15,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.73,0.73,0.836
5,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.878,0.948
10,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.936
5,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,1.0
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.935
20,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.976
15,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.96
10,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.959
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.995
