Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.935
5,70,3,95.714,0.929,0.964,0.867,0.982,0.982,0.935,0.935,0.981
15,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.976
15,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.946
10,70,9,87.143,0.714,0.911,0.667,0.927,0.927,0.804,0.804,0.908
10,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.873,0.862
10,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.952
5,70,6,91.429,0.765,0.962,0.867,0.927,0.927,0.878,0.878,0.983
5,70,5,92.857,0.778,0.981,0.933,0.927,0.927,0.901,0.901,0.952
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.902
