Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,4,94.286,0.824,0.981,0.933,0.945,0.945,0.919,0.919,0.975
15,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.939
10,70,8,88.571,0.889,0.885,0.533,0.982,0.982,0.799,0.799,0.867
20,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.873
5,70,3,95.714,0.833,1.0,1.0,0.945,0.945,0.941,0.941,0.998
15,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.766,0.766,0.868
15,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.906,0.906,0.962
10,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.818,0.945
5,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.818,0.818,0.859
15,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.73,0.73,0.904
