Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,36,48.571,0.216,0.788,0.533,0.473,0.473,0.449,0.449,0.475
15,70,34,51.429,0.243,0.818,0.6,0.491,0.491,0.48,0.48,0.575
5,70,30,57.143,0.241,0.805,0.467,0.6,0.6,0.503,0.503,0.463
15,70,23,67.143,0.357,0.881,0.667,0.673,0.673,0.614,0.614,0.629
10,70,44,37.143,0.163,0.704,0.467,0.345,0.345,0.352,0.352,0.436
5,70,42,40.0,0.135,0.697,0.333,0.418,0.418,0.358,0.358,0.399
5,70,36,48.571,0.08,0.711,0.133,0.582,0.582,0.37,0.37,0.435
5,70,41,41.429,0.205,0.769,0.6,0.364,0.364,0.399,0.399,0.486
5,70,30,57.143,0.308,0.903,0.8,0.509,0.509,0.548,0.548,0.736
20,70,59,15.714,0.06,0.4,0.2,0.145,0.145,0.153,0.153,0.198
