Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,6,91.429,0.737,0.98,0.933,0.909,0.909,0.883,0.883,0.964
15,70,12,82.857,0.636,0.864,0.467,0.927,0.927,0.717,0.717,0.818
20,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.922
10,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.994
5,70,6,91.429,1.0,0.902,0.6,1.0,1.0,0.849,0.849,0.979
5,70,3,95.714,0.875,0.981,0.933,0.964,0.964,0.938,0.938,0.987
20,70,15,78.571,0.5,0.885,0.6,0.836,0.836,0.703,0.703,0.829
20,70,10,85.714,0.727,0.881,0.533,0.945,0.945,0.764,0.764,0.781
5,70,15,78.571,0.5,0.885,0.6,0.836,0.836,0.703,0.703,0.813
10,70,15,78.571,0.5,0.833,0.333,0.909,0.909,0.635,0.635,0.768
