Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,6,91.429,0.714,1.0,1.0,0.891,0.891,0.888,0.888,0.962
20,70,9,87.143,0.636,0.979,0.933,0.855,0.855,0.835,0.835,0.95
5,70,18,74.286,0.412,0.849,0.467,0.818,0.818,0.635,0.635,0.762
5,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.972
20,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.958,0.998
5,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.978,0.998
20,70,8,88.571,0.684,0.961,0.867,0.891,0.891,0.845,0.845,0.835
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.895
20,70,10,85.714,0.692,0.895,0.6,0.927,0.927,0.777,0.777,0.844
10,70,11,84.286,0.6,0.94,0.8,0.855,0.855,0.79,0.79,0.908
