Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.945
10,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.919
10,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.965
10,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.952
15,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.965
10,70,7,90.0,0.9,0.9,0.6,0.982,0.982,0.83,0.83,0.972
20,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.891,0.891,0.967
10,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.942
5,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.932
15,70,8,88.571,0.733,0.927,0.733,0.927,0.927,0.83,0.83,0.948
