Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
10,70,6,91.429,0.8,0.945,0.8,0.945,0.945,0.873,0.873,0.966
20,70,9,87.143,0.875,0.871,0.467,0.982,0.982,0.766,0.766,0.806
5,70,10,85.714,0.857,0.857,0.4,0.982,0.982,0.73,0.73,0.89
5,70,11,84.286,0.833,0.844,0.333,0.982,0.982,0.692,0.692,0.755
5,70,7,90.0,0.786,0.929,0.733,0.945,0.945,0.848,0.848,0.937
10,70,2,97.143,0.882,1.0,1.0,0.964,0.964,0.959,0.959,1.0
20,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.912
15,70,10,85.714,0.667,0.909,0.667,0.909,0.909,0.788,0.788,0.886
5,70,7,90.0,0.833,0.914,0.667,0.964,0.964,0.839,0.839,0.893
5,70,9,87.143,0.8,0.883,0.533,0.964,0.964,0.781,0.781,0.915
