Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
20,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.961
20,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.838,0.838,0.905
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.858,0.858,0.939
10,70,1,98.571,1.0,0.982,0.933,1.0,1.0,0.978,0.978,0.995
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.956
5,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.979
15,70,5,92.857,0.917,0.931,0.733,0.982,0.982,0.885,0.885,0.945
5,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.866,0.951
10,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.95
5,70,2,97.143,0.933,0.982,0.933,0.982,0.982,0.958,0.958,0.939
