Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
5,70,8,88.571,0.769,0.912,0.667,0.945,0.945,0.821,0.821,0.907
5,70,5,92.857,0.812,0.963,0.867,0.945,0.945,0.896,0.896,0.941
10,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.987
20,70,6,91.429,0.846,0.93,0.733,0.964,0.964,0.866,0.866,0.908
20,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.99
5,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.931,0.931,0.987
15,70,4,94.286,0.923,0.947,0.8,0.982,0.982,0.911,0.911,0.995
15,70,8,88.571,0.706,0.943,0.8,0.909,0.909,0.838,0.838,0.937
10,70,2,97.143,1.0,0.965,0.867,1.0,1.0,0.955,0.955,0.982
15,70,4,94.286,0.867,0.964,0.867,0.964,0.964,0.915,0.915,0.952
